community_id,num_locations,num_transactions,avg_sale_price,sale_price_std,price_per_sqft,locations,sale_price_trend,sale_price_volatility
0,61,112,682242.9910714285,272692.0441244605,332.2533580166805,"8928d5d9357ffff, 8928d5d9e53ffff, 8928d436587ffff, 8928d436d93ffff, 8928d436583ffff, 8928d5d932fffff, 8928d5d9367ffff, 8928d436527ffff, 8928d436543ffff, 8928d5d96cbffff, 8928d5d9e5bffff, 8928d5d96dbffff, 8928d43650fffff, 8928d5d9e43ffff, 8928d436027ffff, 8928d43652fffff, 8928d5d92bbffff, 8928d5d9207ffff, 8928d5d932bffff, 8928d4362a3ffff, 8928d5d9327ffff, 8928d43657bffff, 8928d4364afffff, 8928d5d939bffff, 8928d5d9323ffff, 8928d436037ffff, 8928d436553ffff, 8928d4acb67ffff, 8928d5d938bffff, 8928d5d93dbffff, 8928d4365cfffff, 8928d4362bbffff, 8928d4acb0fffff, 8928d436577ffff, 8928d5d934bffff, 8928d436d97ffff, 8928d43606bffff, 8928d5d9253ffff, 8928d5d930fffff, 8928d43656bffff, 8928d436153ffff, 8928d43656fffff, 8928d5d921bffff, 8928d4acb7bffff, 8928d5d9347ffff, 8928d4362a7ffff, 8928d4361dbffff, 8928d5d92abffff, 8928d43603bffff, 8928d5d931bffff, 8928d436063ffff, 8928d4365b3ffff, 8928d436017ffff, 8928d43600bffff, 8928d4361b3ffff, 8928d5d907bffff, 8928d5d9343ffff, 8928d5d9313ffff, 8928d436547ffff, 8928d43654fffff, 8928d436c83ffff",0.09683057757576073,0.49332677510392814
1,144,942,613826.1146496815,275671.2687215162,357.6785244266734,"8928d5c88bbffff, 8928d5c8863ffff, 8928d5c8d6fffff, 8928d5ca863ffff, 8928d5c8dafffff, 8928d5cab2fffff, 8928d5ca8afffff, 8928d5ca80fffff, 8928d5ca837ffff, 8928d5c8bcfffff, 8928d5c8d53ffff, 8928d5c8bc7ffff, 8928d5c8d07ffff, 8928d5c8d63ffff, 8928d5c8d97ffff, 8928d5ca94bffff, 8928d5cab47ffff, 8928d5cf64bffff, 8928d5ca8a3ffff, 8928d5c8d3bffff, 8928d5c89dbffff, 8928d5c8b13ffff, 8928d5c8c67ffff, 8928d5ca95bffff, 8928d5c895bffff, 8928d5ca823ffff, 8928d5c8b1bffff, 8928d5c8dd3ffff, 8928d5cab3bffff, 8928d5cab83ffff, 8928d5cabd7ffff, 8928d5ca807ffff, 8928d5c88a7ffff, 8928d5c8887ffff, 8928d5c8813ffff, 8928d5c8d93ffff, 8928d5c899bffff, 8928d5cab8fffff, 8928d5c881bffff, 8928d5cabbbffff, 8928d5c8c27ffff, 8928d5cab67ffff, 8928d5c8c33ffff, 8928d5cab87ffff, 8928d5c8cb3ffff, 8928d5ca86fffff, 8928d5cab0fffff, 8928d5cab17ffff, 8928d5ca8abffff, 8928d5c8d8fffff, 8928d5ca867ffff, 8928d5ca83bffff, 8928d5cab2bffff, 8928d5c883bffff, 8928d5c8807ffff, 8928d5cab1bffff, 8928d5c8b8bffff, 8928d5cab57ffff, 8928d5c8897ffff, 8928d5c8d2fffff, 8928d5c8b9bffff, 8928d5cab23ffff, 8928d5c898bffff, 8928d5cab43ffff, 8928d5cab0bffff, 8928d5c8d03ffff, 8928d5ca82fffff, 8928d5cab7bffff, 8928d5cabc7ffff, 8928d5c8dcfffff, 8928d5cabd3ffff, 8928d5c8d17ffff, 8928d5ca8bbffff, 8928d5cab77ffff, 8928d5cab8bffff, 8928d5ca833ffff, 8928d5c880fffff, 8928d5cab63ffff, 8928d5c8dd7ffff, 8928d5c8d57ffff, 8928d5c8c37ffff, 8928d5cab33ffff, 8928d5cab9bffff, 8928d5c8d2bffff, 8928d5c8dabffff, 8928d5c8d4bffff, 8928d5c8d13ffff, 8928d5c889bffff, 8928d5cab6fffff, 8928d5c8d8bffff, 8928d5ca817ffff, 8928d5c8dc7ffff, 8928d5c8cb7ffff, 8928d5cab73ffff, 8928d5c8dcbffff, 8928d5c8d67ffff, 8928d5c8d5bffff, 8928d5cabcfffff, 8928d5c8833ffff, 8928d5cab97ffff, 8928d5c8d77ffff, 8928d5c8d73ffff, 8928d5c8d23ffff, 8928d5c8d0bffff, 8928d5c8877ffff, 8928d5cab6bffff, 8928d5c8803ffff, 8928d5c8ca7ffff, 8928d5c8d47ffff, 8928d5c8d7bffff, 8928d5cab07ffff, 8928d5ca877ffff, 8928d5c8d43ffff, 8928d5c888bffff, 8928d5c8d1bffff, 8928d5c89c7ffff, 8928d5c8b8fffff, 8928d5c8993ffff, 8928d5c8d9bffff, 8928d5cab53ffff, 8928d5c89d7ffff, 8928d5c8c23ffff, 8928d5c88a3ffff, 8928d5c88afffff, 8928d5cab13ffff, 8928d5c882bffff, 8928d5c8d0fffff, 8928d5c8dbbffff, 8928d5cab4fffff, 8928d5c8d83ffff, 8928d5c8883ffff, 8928d5cab03ffff, 8928d5c888fffff, 8928d5cab27ffff, 8928d5c8827ffff, 8928d5c8817ffff, 8928d5c8867ffff, 8928d5cab93ffff, 8928d5c8d6bffff, 8928d5ca86bffff, 8928d5ca8b3ffff, 8928d5c8dc3ffff, 8928d5ca82bffff, 8928d5c880bffff",0.019200717536919307,0.18062647667321097
2,89,224,833953.2723214285,393982.1493088369,345.22478881958915,"8928d5c9673ffff, 8928d426463ffff, 8928d5c930bffff, 8928d5c93c3ffff, 8928d42652bffff, 8928d5c92abffff, 8928d434b63ffff, 8928d4266b7ffff, 8928d5c9287ffff, 8928d5c960fffff, 8928d42646fffff, 8928d42654fffff, 8928d4264c7ffff, 8928d426413ffff, 8928d426407ffff, 8928d5c964fffff, 8928d5c9283ffff, 8928d426587ffff, 8928d4265cfffff, 8928d42640bffff, 8928d5c966bffff, 8928d426427ffff, 8928d4264a7ffff, 8928d4265dbffff, 8928d5c92dbffff, 8928d42643bffff, 8928d42640fffff, 8928d426437ffff, 8928d4265bbffff, 8928d5c9667ffff, 8928d5c92a7ffff, 8928d5c9217ffff, 8928d42647bffff, 8928d426087ffff, 8928d4264afffff, 8928d434b6fffff, 8928d5c930fffff, 8928d4260cbffff, 8928d434b77ffff, 8928d5c93cbffff, 8928d5c929bffff, 8928d5c9627ffff, 8928d5c9043ffff, 8928d5c9663ffff, 8928d434b6bffff, 8928d42648fffff, 8928d5c904bffff, 8928d5c9373ffff, 8928d5c9203ffff, 8928d4260dbffff, 8928d5c9623ffff, 8928d426553ffff, 8928d5c92a3ffff, 8928d5c966fffff, 8928d5c92afffff, 8928d4264abffff, 8928d5c9637ffff, 8928d4264bbffff, 8928d5c905bffff, 8928d42658bffff, 8928d426543ffff, 8928d5c9357ffff, 8928d5c9047ffff, 8928d5c92d3ffff, 8928d426473ffff, 8928d5c92d7ffff, 8928d5c960bffff, 8928d4265b7ffff, 8928d42655bffff, 8928d5c92bbffff, 8928d5c92b7ffff, 8928d434b67ffff, 8928d42659bffff, 8928d4265d7ffff, 8928d5c921bffff, 8928d4265a7ffff, 8928d5c925bffff, 8928d426593ffff, 8928d4264a3ffff, 8928d426573ffff, 8928d426417ffff, 8928d5c92cfffff, 8928d426583ffff, 8928d434b2bffff, 8928d426517ffff, 8928d42644fffff, 8928d426433ffff, 8928d426423ffff, 8928d42608bffff",0.09191577833422947,0.46698400240000565
3,9,16,738031.25,283569.3515675442,616.1755164822289,"8928d436a77ffff, 8928d436a6fffff, 8928d434c8bffff, 8928d434cc7ffff, 8928d436a67ffff, 8928d436a2bffff, 8928d434cd7ffff, 8928d434c9bffff, 8928d434cc3ffff",0.24337736196817508,0.6070880154417465
4,10,29,647408.6206896552,271454.71905024827,367.507404141153,"8928d436b83ffff, 8928d436bb3ffff, 8928d436bbbffff, 8928d436b17ffff, 8928d436b87ffff, 8928d43694fffff, 8928d43694bffff, 8928d436b8fffff, 8928d436b97ffff, 8928d43695bffff",0.18515217930615596,0.6991665224844769
5,7,13,831730.7692307692,277275.2461547505,361.80878900014045,"8928d43634fffff, 8928d436357ffff, 8928d43637bffff, 8928d43630bffff, 8928d436343ffff, 8928d43622fffff, 8928d434493ffff",0.09508550369933977,0.3094870261974941
6,18,28,770444.6428571428,345927.2692290982,398.99136505145253,"8928d434d07ffff, 8928d434d17ffff, 8928d434da3ffff, 8928d434dbbffff, 8928d434d0bffff, 8928d5cb64bffff, 8928d434db7ffff, 8928d5cb60bffff, 8928d434d8bffff, 8928d434d13ffff, 8928d5cb673ffff, 8928d434d03ffff, 8928d434d0fffff, 8928d5cb64fffff, 8928d434d87ffff, 8928d434d83ffff, 8928d434dc7ffff, 8928d5cb643ffff",0.18581694836114226,0.6593364569680278
7,9,20,897489.4,310904.2907629935,1170.2291720993994,"8928d4341b7ffff, 8928d4341b3ffff, 8928d436a7bffff, 8928d436a6bffff, 8928d4341a7ffff, 8928d4341abffff, 8928d434cdbffff, 8928d434133ffff, 8928d4341afffff",0.08441258166357761,0.38965344985031003
8,9,22,775904.5454545454,394511.6172126018,360.26377100909036,"8928d436bcbffff, 8928d436a27ffff, 8928d436b43ffff, 8928d436b5bffff, 8928d436a2fffff, 8928d436a23ffff, 8928d436a33ffff, 8928d436a37ffff, 8928d436b53ffff",0.07846857673894789,0.4483212425098249
9,12,28,740416.75,265912.36461132736,307.94246115602033,"8928d436b0fffff, 8928d436b1bffff, 8928d436b77ffff, 8928d436bc3ffff, 8928d436b0bffff, 8928d436b73ffff, 8928d436bc7ffff, 8928d436b13ffff, 8928d436b63ffff, 8928d436bd7ffff, 8928d436b03ffff, 8928d436b7bffff",0.11650620794832553,0.5461276737640764
