source_id,sale_date,sale_price,lat,lng,source_file
"3002-Nw-66th-St,-Seattle,-WA-98117",2025-09-29,890000,47.676812,-122.395913,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"743-N-71st-St,-Seattle,-WA-98103",2025-09-29,721000,47.680088,-122.347941,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"1006-5th-St,-Kirkland,-WA-98033",2025-09-29,2335000,47.68328,-122.199026,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"530-Broadway-E,-Apt-414,-Seattle,-WA-98102",2025-09-29,375000,47.623898,-122.320376,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"11310-Ne-60th-St,-Kirkland,-WA-98033",2025-09-29,2165000,47.66131,-122.189278,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"7708-44th-Ave-NE,-Seattle,-WA-98115",2025-09-29,1140000,47.685202,-122.280732,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"12315-Ne-97th-St,-Apt-G,-Kirkland,-WA-98033",2025-09-29,515000,47.687692,-122.17729,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"6358-Delridge-Way-SW,-Seattle,-WA-98106",2025-09-29,799950,47.544935,-122.361311,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"4160-Sw-Orchard-St,-Seattle,-WA-98136",2025-09-30,800000,47.53917,-122.385883,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"3253-Sw-Raymond-St,-Seattle,-WA-98126",2025-09-30,650000,47.547747,-122.374968,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"5101-Ne-55th-St,-Apt-104,-Seattle,-WA-98105",2025-09-30,550000,47.668236,-122.27298,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"5023-36th-Ave-NE,-Seattle,-WA-98105",2025-09-30,825000,47.665555,-122.289378,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"1414-1st-Ave-W,-Apt-104,-Seattle,-WA-98119",2025-09-30,925000,47.631795,-122.35788,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"1943-34th-Ave-W,-Seattle,-WA-98199",2025-09-30,1390500,47.637109,-122.400441,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"3010-W-Smith-St,-Seattle,-WA-98199",2025-09-30,830000,47.641263,-122.396108,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"2617-32nd-Ave-W,-Seattle,-WA-98199",2025-09-30,1268500,47.643763,-122.398647,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"7725-Ne-142nd-Pl,-Kirkland,-WA-98034",2025-09-30,1325000,47.729937,-122.236994,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"5412-Kensington-Pl-N,-Seattle,-WA-98103",2025-09-30,805000,47.668332,-122.329527,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"8849-35th-Ave-SW,-Seattle,-WA-98126",2025-09-30,2225000,47.523084,-122.377121,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"7717-2nd-Ave-NE,-Seattle,-WA-98115",2025-09-30,860000,47.685561,-122.327349,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"618-N-49th-St,-Seattle,-WA-98103",2025-09-30,939000,47.664492,-122.350671,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"6208-Fremont-Ave-N,-Seattle,-WA-98103",2025-09-30,1040000,47.674166,-122.349654,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"6515-Ne-60th-St,-Seattle,-WA-98115",2025-09-30,1500000,47.671811,-122.257418,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"7521-30th-Ave-NE,-Seattle,-WA-98115",2025-09-30,1861900,47.68371,-122.296292,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"4563-34th-Ave-W,-Seattle,-WA-98199",2025-09-30,675000,47.662897,-122.401899,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"2545-36th-Ave-W,-Seattle,-WA-98199",2025-09-30,1000000,47.642933,-122.40403,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"7945-Delridge-Way-SW,-Seattle,-WA-98106",2025-09-30,482500,47.530501,-122.360808,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"7949-Delridge-Way-SW,-Seattle,-WA-98106",2025-09-30,482500,47.530367,-122.36081,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"533-N-73rd-St,-Seattle,-WA-98103",2025-09-30,886600,47.681584,-122.351183,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"756-N-72nd-St,-Apt-102,-Seattle,-WA-98103",2025-09-30,417000,47.681304,-122.347456,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"10016-Ne-124th-Pl,-Kirkland,-WA-98034",2025-10-01,500000,47.71178,-122.206927,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"3924-Sw-Dawson-St,-Seattle,-WA-98136",2025-10-01,600000,47.555829,-122.382059,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"5159-Ne-55th-St,-Seattle,-WA-98105",2025-10-01,2500000,47.668238,-122.270783,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"9641-Ne-121st-Ln,-Kirkland,-WA-98034",2025-10-01,600000,47.709234,-122.211729,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"12510-109th-Ct-NE,-Apt-E101,-Kirkland,-WA-98034",2025-10-01,485000,47.712101,-122.19668,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"9042-Wallingford-Ave-N,-Seattle,-WA-98103",2025-10-01,654950,47.695385,-122.336094,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"1026-N-48th-St,-Seattle,-WA-98103",2025-10-01,1250000,47.663789,-122.344834,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"7704-45th-Ave-SW,-Seattle,-WA-98136",2025-10-01,1150000,47.53386,-122.389986,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"13702-15th-Ave-NE,-Seattle,-WA-98125",2025-10-02,900000,47.728656,-122.312377,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"3218-31st-Ave-W,-Seattle,-WA-98199",2025-10-02,885000,47.649336,-122.396597,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"2325-43rd-Ave-E,-Apt-102,-Seattle,-WA-98112",2025-10-02,1320000,47.639942,-122.277481,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"3626-Wallingford-Ave-N,-Seattle,-WA-98103",2025-10-02,3268000,47.651284,-122.335949,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"1760-Nw-56th-St,-Apt-210,-Seattle,-WA-98107",2025-10-02,465000,47.669678,-122.381655,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"9304-32nd-Ave-SW,-Seattle,-WA-98126",2025-10-03,645000,47.519662,-122.374106,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"7054-38th-Ave-NE,-Seattle,-WA-98115",2025-10-03,1210000,47.680962,-122.286858,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"13209-7th-Ave-NW,-Seattle,-WA-98177",2025-10-03,1562500,47.725432,-122.365392,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"12715-Dayton-Ave-N,-Seattle,-WA-98133",2025-10-03,755000,47.721899,-122.353168,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"12221-100th-Ave-NE,-Apt-103,-Kirkland,-WA-98034",2025-10-03,300000,47.710264,-122.207852,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"2405-N-75th-St,-Seattle,-WA-98103",2025-10-03,1149000,47.68308,-122.329067,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"9211-9th-Ave-NW,-Seattle,-WA-98117",2025-10-03,700000,47.696432,-122.368859,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"1603-Ne-70th-St,-Seattle,-WA-98115",2025-10-03,1320000,47.679189,-122.310709,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"505-18th-Ave,-Kirkland,-WA-98033",2025-10-03,6000000,47.689071,-122.199775,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"8048-Crest-Dr-NE,-Seattle,-WA-98115",2025-10-03,3400000,47.687569,-122.273862,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"9779-Ne-South-Beach-Dr,-Bainbridge-Island,-WA-98110",2025-10-03,3875000,47.574512,-122.520508,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"4207A-Sw-Thistle-St,-Seattle,-WA-98136",2025-10-03,820000,47.528344,-122.386442,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"588-Bell-St,-Unit-3702,-Seattle,-WA-98121",2025-10-03,1049000,47.616653,-122.343014,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"401-W-Galer-St,-Seattle,-WA-98119",2025-10-03,1200000,47.632189,-122.361978,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"2858-32nd-Ave-W,-Apt-302,-Seattle,-WA-98199",2025-10-06,490000,47.646202,-122.398148,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"2311-45th-Ave-SW,-Seattle,-WA-98116",2025-10-06,1366000,47.582557,-122.389612,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"2534-57th-Ave-SW,-Seattle,-WA-98116",2025-10-06,1585000,47.580209,-122.40488,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"123-Ne-77th-St,-Seattle,-WA-98115",2025-10-06,1265000,47.684865,-122.32723,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"8005-Sand-Point-Way-NE,-Unit-A52,-Seattle,-WA-98115",2025-10-06,785000,47.689355,-122.268556,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"3029-Ne-133rd-St,-Seattle,-WA-98125",2025-10-06,825000,47.724489,-122.295088,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"3812-E-Crockett-St,-Seattle,-WA-98112",2025-10-06,3695000,47.637594,-122.283339,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"7060-Lincoln-Park-Way-SW,-Seattle,-WA-98136",2025-10-06,6297600,47.53995,-122.394504,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"1740-Ne-90th-St,-Seattle,-WA-98115",2025-10-06,580000,47.694132,-122.307701,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
"1919-E-Eaton-Pl,-Seattle,-WA-98112",2025-10-06,945000,47.63707,-122.307489,/Users/marie/Documents/kiro/neural-network-house-prices/neural-networks-house-prices/java-app/house-price-app/data/rentcast/rentcast_previous.csv
