sale_date,sale_price,sale_nbr,lat,lng,sqft,sqft_lot,year_built,year_reno,beds,baths,address,city,zipcode,property_type,h3_07,community
2025-09-11,499000.0,"9229-122nd-Ct-NE,-Apt-13,-Kirkland,-WA-98033",47.684566,-122.176813,940.0,156011.0,1999.0,,1.0,1.0,"9229 122nd Ct NE, Apt 13, Kirkland, WA 98033",Kirkland,98033,Condo,8728d5413ffffff,59
2025-09-11,1095000.0,"5510-3rd-Ave-NW,-Seattle,-WA-98107",47.669005,-122.360579,2500.0,6733.0,1979.0,,3.0,2.0,"5510 3rd Ave NW, Seattle, WA 98107",Seattle,98107,Single Family,8728d5476ffffff,9
2025-09-11,534000.0,"3130-Sw-97th-St,-Seattle,-WA-98126",47.516864,-122.373477,740.0,6840.0,1942.0,,2.0,1.0,"3130 Sw 97th St, Seattle, WA 98126",Seattle,98126,Single Family,8728d5574ffffff,9
2025-09-11,350000.0,"210-Sw-156th-St,-Burien,-WA-98166",47.463538,-122.337031,1070.0,7558.0,1958.0,,3.0,1.0,"210 Sw 156th St, Burien, WA 98166",Burien,98166,Single Family,8728d5cd3ffffff,38
2025-09-11,850000.0,"1009-Ne-70th-St,-Seattle,-WA-98115",47.67926,-122.31689,2040.0,4590.0,1925.0,,4.0,2.0,"1009 Ne 70th St, Seattle, WA 98115",Seattle,98115,Single Family,8728d5408ffffff,9
2025-09-11,650000.0,"1125-24th-Ave-S,-Seattle,-WA-98144",47.592367,-122.301758,910.0,1639.0,2007.0,,2.0,1.5,"1125 24th Ave S, Seattle, WA 98144",Seattle,98144,Single Family,8728d5425ffffff,9
2025-09-12,1435000.0,"10733-126th-Pl-NE,-Kirkland,-WA-98033",47.697366,-122.172577,2080.0,7200.0,1975.0,,4.0,2.5,"10733 126th Pl NE, Kirkland, WA 98033",Kirkland,98033,Single Family,8728d5413ffffff,59
2025-09-12,1475000.0,"6306-17th-Ave-NE,-Seattle,-WA-98115",47.675007,-122.309492,2750.0,4080.0,1900.0,,4.0,2.5,"6306 17th Ave NE, Seattle, WA 98115",Seattle,98115,Single Family,8728d540cffffff,9
2025-09-12,850000.0,"7407-25th-Ave-NE,-Seattle,-WA-98115",47.68228,-122.301091,2280.0,6204.0,1978.0,,5.0,2.5,"7407 25th Ave NE, Seattle, WA 98115",Seattle,98115,Single Family,8728d5408ffffff,9
2025-09-12,819000.0,"2222-Ne-80th-St,-Seattle,-WA-98115",47.686759,-122.303522,1470.0,7198.0,1938.0,,3.0,1.0,"2222 Ne 80th St, Seattle, WA 98115",Seattle,98115,Single Family,8728d5408ffffff,9
