Unnamed: 0,sale_date,sale_price,sale_nbr,lat,lng,sqft,sqft_lot,year_built,year_reno,sqft_fbsmt,sqft_1,grade,fbsmt_grade,condition,stories,beds,bath_full,bath_3qtr,bath_half,garb_sqft,gara_sqft,h3_07,h3_10,price_per_sqft,h3_08,community
5786,2020-01-05,411900,1.0,47.4682888729814,-122.348668566587,860,7620,1918,0,0,860,5,0,3,1.0,2,1,0,0,0,0,8728d5cd3ffffff,8a28d5cd3747fff,478.95348837209303,8828d5cd37fffff,5
5787,2020-01-06,1300000,2.0,47.4266862159846,-122.280200142234,2480,14316,1960,0,1240,1240,7,7,3,1.0,2,1,1,0,0,0,8728d5c8bffffff,8a28d5c8b507fff,524.1935483870968,8828d5c8b5fffff,5
5789,2020-01-06,460000,2.0,47.4034448467351,-122.296944312591,910,8400,1955,0,0,910,6,0,3,1.0,3,1,0,0,0,0,8728d5c88ffffff,8a28d5c88b87fff,505.4945054945055,8828d5c88bfffff,79
5790,2020-01-10,225000,2.0,47.3741237750122,-122.231176606944,920,5610,1949,0,0,920,5,0,4,1.0,2,1,0,0,0,0,8728d5c80ffffff,8a28d5c800f7fff,244.56521739130434,8828d5c801fffff,79
5791,2020-01-15,930000,3.0,47.4136236280702,-122.287447286935,1610,37530,1949,0,0,1610,6,0,3,1.0,3,1,0,0,0,0,8728d5c88ffffff,8a28d5c88627fff,577.639751552795,8828d5c887fffff,12
5792,2020-01-14,607500,2.0,47.5890821448491,-122.310886934116,1430,6000,1925,0,0,1020,6,0,3,1.5,3,1,0,0,0,0,8728d5425ffffff,8a28d5425307fff,424.8251748251748,8828d54253fffff,5
5794,2020-01-22,2495000,2.0,47.6741561456539,-122.326221659351,1200,6120,1901,0,0,1200,6,0,3,1.0,2,1,0,0,0,0,8728d540dffffff,8a28d540d52ffff,2079.1666666666665,8828d540d5fffff,9
5795,2020-02-11,1550500,2.0,47.574678696883,-122.414289072658,930,7089,1941,0,0,930,7,0,4,1.0,2,1,0,0,0,0,8728d5542ffffff,8a28d5542177fff,1667.2043010752689,8828d55421fffff,9
5796,2020-03-02,1200000,2.0,47.5994569502425,-122.295561323931,1330,3300,1906,0,0,790,5,0,1,2.0,3,2,0,0,0,0,8728d5421ffffff,8a28d5421d07fff,902.2556390977444,8828d5421dfffff,9
5798,2020-03-06,865000,5.0,47.7601264916881,-122.366270099754,1570,8536,1960,0,300,1270,8,7,3,1.0,3,1,1,0,0,720,8728d54edffffff,8a28d54ed1a7fff,550.9554140127389,8828d54ed1fffff,9
5799,2020-02-24,562650,2.0,47.4801984800746,-122.347540862348,1410,8600,1944,0,0,1410,6,0,4,1.0,4,1,0,1,0,0,8728d552dffffff,8a28d552d117fff,399.0425531914894,8828d552d1fffff,5
5800,2020-03-06,732000,3.0,47.6998318557089,-122.360361256067,920,7087,1940,0,0,920,6,0,3,1.0,2,1,0,0,180,0,8728d5454ffffff,8a28d54541b7fff,795.6521739130435,8828d5454dfffff,9
5801,2020-03-06,1789000,2.0,47.645773183389,-122.317448866837,2880,4400,1923,1980,400,1280,10,10,4,2.0,4,2,0,0,0,0,8728d542affffff,8a28d542aa1ffff,621.1805555555555,8828d542abfffff,9
5802,2020-03-10,950000,2.0,47.3148029949726,-122.163654796672,1860,43560,1955,0,0,1480,5,0,3,2.0,5,1,0,0,0,770,8728d5cb4ffffff,8a28d5cb452ffff,510.752688172043,8828d5cb45fffff,13
5803,2020-03-08,1685000,3.0,47.645773183389,-122.317448866837,2880,4400,1923,1980,400,1280,10,10,4,2.0,4,2,0,0,0,0,8728d542affffff,8a28d542aa1ffff,585.0694444444445,8828d542abfffff,9
5804,2020-03-16,685100,2.0,47.5277257571957,-122.358143705962,1400,5146,1927,0,0,1020,6,0,4,1.5,3,2,0,0,0,0,8728d5576ffffff,8a28d55762a7fff,489.35714285714283,8828d55763fffff,5
5806,2020-03-12,845000,2.0,47.6495838264402,-122.402668471958,770,6000,1932,0,0,770,6,0,3,1.0,2,1,0,0,0,0,8728d5474ffffff,8a28d5474aeffff,1097.4025974025974,8828d5474bfffff,9
5807,2020-03-13,966000,2.0,47.5521217719676,-122.275136113339,1590,6180,1916,0,0,940,7,0,3,1.5,4,1,0,0,0,0,8728d550affffff,8a28d550a817fff,607.5471698113207,8828d550a9fffff,5
5808,2020-03-27,672500,2.0,47.5357185413095,-122.280154092645,880,7192,1926,0,0,880,5,0,2,1.0,2,1,0,0,180,0,8728d550effffff,8a28d550eb87fff,764.2045454545455,8828d550ebfffff,5
5809,2020-03-17,610000,2.0,47.4895469302429,-122.087469253597,1850,435600,1950,0,0,1370,6,0,4,2.0,2,2,0,0,0,0,8728d424effffff,8a28d424e357fff,329.72972972972974,8828d424e3fffff,13
5810,2020-03-20,925000,3.0,47.7125358983861,-122.286231361692,1630,9525,1933,0,0,1150,7,0,4,1.5,4,2,0,0,0,0,8728d54e4ffffff,8a28d54e4817fff,567.4846625766871,8828d54e49fffff,9
5812,2020-03-24,2478600,3.0,47.6382960019915,-122.401941509533,1780,5000,1939,0,600,1180,8,4,3,1.0,4,1,1,0,0,0,8728d555bffffff,8a28d555b5affff,1392.4719101123596,8828d555b5fffff,9
