sale_date,sale_price,sale_nbr,lat,lng,sqft,sqft_lot,year_built,year_reno,sqft_fbsmt,sqft_1,grade,fbsmt_grade,condition,stories,beds,bath_full,bath_3qtr,bath_half,garb_sqft,gara_sqft
2020-01-05,411900,1.0,47.468288872981375,-122.34866856658654,860,7620,1918,0,0,860,5,0,3,1.0,2,1,0,0,0,0
2020-01-06,370000,1.0,47.48429945504966,-122.20950941161924,870,5350,1925,0,0,870,5,0,4,1.0,2,1,0,0,180,0
2020-01-08,875000,,47.69682718704839,-122.28450494751937,2460,9750,1961,0,1060,1400,8,7,3,1.0,5,1,2,0,340,0
2020-01-02,675000,2.0,47.666429019226285,-122.30279781459907,1180,2350,1926,0,300,880,6,5,4,1.0,3,1,1,0,0,0
2020-01-06,1300000,2.0,47.42668621598456,-122.28020014223428,2480,14316,1960,0,1240,1240,7,7,3,1.0,2,1,1,0,0,0
2020-01-06,698000,4.0,47.51636599256942,-122.36550501505852,840,12240,1934,0,0,840,6,0,4,1.0,2,1,0,0,0,460
2020-01-03,625000,,47.70466204905696,-122.31931477659532,740,5940,1949,0,0,740,6,0,4,1.0,2,1,0,0,0,0
2020-01-06,460000,2.0,47.40344484673508,-122.29694431259128,910,8400,1955,0,0,910,6,0,3,1.0,3,1,0,0,0,0
2020-01-09,1949500,2.0,47.67572599162486,-122.35673034124984,1660,4000,1915,0,0,940,7,0,3,1.5,3,1,0,1,0,0
2020-01-10,225000,2.0,47.37412377501217,-122.23117660694362,920,5610,1949,0,0,920,5,0,4,1.0,2,1,0,0,0,0
2020-01-21,630000,1.0,47.54673786346004,-122.29654649343928,1810,5350,1964,0,500,1310,7,6,3,1.0,3,1,1,0,0,0
2020-01-17,850000,1.0,47.74010113083412,-122.24656409559668,3240,16875,1978,0,1620,1620,8,8,3,1.0,3,1,1,0,0,420
2020-01-25,625000,3.0,47.56109633989261,-122.29133673471952,1040,3000,1905,0,0,720,5,0,3,1.5,3,1,0,2,0,0
2020-01-15,930000,3.0,47.4136236280702,-122.28744728693474,1610,37530,1949,0,0,1610,6,0,3,1.0,3,1,0,0,0,0
2020-01-14,607500,2.0,47.58908214484913,-122.310886934116,1430,6000,1925,0,0,1020,6,0,3,1.5,3,1,0,0,0,0
2020-01-28,1100000,3.0,47.61617535871128,-122.303953883228,1240,3810,1906,0,0,740,7,0,4,1.5,3,1,0,0,0,0
2020-01-28,480000,1.0,47.49777980722467,-122.2622287183112,2000,6360,1993,0,810,1190,7,7,3,1.0,4,3,0,0,350,180
2020-01-24,2884500,,47.25284412360137,-122.10932869529908,1480,499633,1962,0,0,1480,7,0,4,1.0,3,2,0,0,0,0
2020-01-22,815000,,47.708265242272745,-122.30871123820258,2570,8480,1947,0,0,1780,7,0,4,2.0,4,2,0,1,0,480
2020-01-23,1100000,2.0,47.640295060054235,-122.35730202045626,1150,3600,1906,0,0,1150,7,0,4,1.0,2,1,0,0,0,0
2020-01-24,537000,1.0,47.72200595005069,-122.2198644847642,1900,7000,1968,0,680,1220,7,6,3,1.0,5,2,1,0,520,0
2020-01-14,311850,3.0,47.48196363078854,-122.27626990536262,2200,15450,1962,0,470,1730,7,5,3,1.0,3,1,0,1,0,0
2020-01-15,565000,2.0,47.4800545060592,-121.76441330517832,1520,43560,1949,0,0,1520,6,0,3,1.0,2,1,0,0,0,610
2020-01-15,565000,3.0,47.4800545060592,-121.76441330517832,1520,43560,1949,0,0,1520,6,0,3,1.0,2,1,0,0,0,610
2020-02-03,620000,2.0,47.600643448778136,-122.2947871233974,1150,4000,1974,0,0,1150,6,0,3,1.0,3,1,0,0,0,300
