id,address,latitude,longitude,lastSalePrice,squareFootage,lotSize,bedrooms,bathrooms,propertyType,lastSaleDate
"15560-Westminster-Way-N,-Shoreline,-WA-98133","15560 Westminster Way N, Shoreline, WA 98133",47.742354,-122.346376,112200000,450,5000,0,1.0,Apartment,2025-12-22
"14330-24th-Pl-NE,-Seattle,-WA-98125","14330 24th Pl NE, Seattle, WA 98125",47.733140,-122.302357,860000,1090,9151,2,1.0,Single Family,2025-10-17
"1548-Ne-140th-St,-Seattle,-WA-98125","1548 Ne 140th St, Seattle, WA 98125",47.730910,-122.311038,559500,1736,292300,2,1.5,Condo,2025-10-20
"2007-N-153rd-Pl,-Shoreline,-WA-98133","2007 N 153rd Pl, Shoreline, WA 98133",47.739750,-122.335698,831000,500,7504,1,2.0,Single Family,2025-10-31
"14308-Midvale-Ave-N,-Seattle,-WA-98133","14308 Midvale Ave N, Seattle, WA 98133",47.732589,-122.343790,490000,1200,703,2,2.0,Townhouse,2025-12-15
"14026-Lenora-Pl-N,-Seattle,-WA-98133","14026 Lenora Pl N, Seattle, WA 98133",47.731260,-122.343105,335000,1940,2548,4,2.5,Single Family,2025-12-01
"14035-2nd-Ave-Nw-Unit-B,-Seattle,-WA-98177","14035 2nd Ave Nw Unit B, Seattle, WA 98177",47.731501,-122.359989,770000,1120,2056,3,2.5,Single Family,2025-11-25
"14035-2nd-Ave-NW,-Seattle,-WA-98177","14035 2nd Ave NW, Seattle, WA 98177",47.731494,-122.359986,754000,1320,8100,3,1.5,Single Family,2026-01-22
"106-N-140th-St,-Seattle,-WA-98133","106 N 140th St, Seattle, WA 98133",47.730660,-122.357848,1820000,3390,8235,5,2.5,Single Family,2026-01-16
"13526-Sherman-Rd-NW,-Seattle,-WA-98177","13526 Sherman Rd NW, Seattle, WA 98177",47.727608,-122.361249,1600000,2150,9608,4,2.0,Single Family,2025-11-12
"13713-Greenwood-Ave-N,-Seattle,-WA-98133","13713 Greenwood Ave N, Seattle, WA 98133",47.729141,-122.355982,595000,1710,1680,3,2.0,Single Family,2025-12-12
"13709-Greenwood-Ave-N,-Seattle,-WA-98133","13709 Greenwood Ave N, Seattle, WA 98133",47.729066,-122.355982,605000,1700,1680,3,2.5,Single Family,2025-12-03
"604-N-143rd-St,-Seattle,-WA-98133","604 N 143rd St, Seattle, WA 98133",47.732562,-122.351287,1025000,990,14238,2,1.0,Single Family,2025-12-18
"13229-Linden-Ave-N,-Apt-510B,-Seattle,-WA-98133","13229 Linden Ave N, Apt 510B, Seattle, WA 98133",47.724805,-122.347955,465000,1235,177800,3,2.0,Condo,2026-01-15
"300-N-130th-St,-Unit-9302,-Seattle,-WA-98133","300 N 130th St, Unit 9302, Seattle, WA 98133",47.723936,-122.354591,305000,707,203091,1,1.0,Condo,2025-12-08
