community,count,2020,2021,2022,2023,2024,2025,2026
255,2082,14.2756,14.5009,18.169,17.7265,17.1625,20.5318,0.0
257,1600,17.7311,18.8367,20.7684,18.7185,18.8139,20.8568,0.0
248,1426,11.3008,11.0964,14.359,15.5142,14.1608,20.0706,0.0
256,1407,19.4044,19.6839,19.5165,21.0437,19.709,20.987,23.0872
259,1360,18.5393,18.9784,20.3952,21.3601,19.6612,19.8631,16.1514
251,1345,11.346,12.7362,12.7499,12.8703,13.8284,15.4746,31.7931
133,1305,14.895,16.3345,15.6982,14.7228,15.7129,16.8623,19.9667
260,1291,21.9747,22.9083,19.275,23.1418,22.8317,24.0586,0.0
84,1254,15.9563,17.6876,21.541,17.6282,16.9413,20.3137,2.4668
258,1138,13.5101,12.2822,15.3411,11.4509,12.5459,18.4319,0.0
139,1115,14.8737,17.6581,17.6532,15.1024,15.4753,21.2572,0.0
261,1086,12.8656,12.1502,15.3586,13.3784,14.0842,18.8955,10.263
254,1069,13.0629,16.6246,13.4376,14.848,16.5454,20.417,0.0
250,1062,20.0103,17.3753,16.984,16.8356,18.7707,22.1911,11.0661
131,995,21.6138,20.0607,18.6658,19.8043,18.0152,19.4283,0.0
86,991,12.0249,13.0213,13.1887,15.6906,14.4921,17.1554,0.0
128,970,9.3682,11.2152,11.1937,11.3612,14.0003,17.5581,0.0
177,967,14.8848,15.7569,15.1768,15.6452,15.3966,22.0087,4.7179
81,958,14.0338,14.9804,15.6097,15.0141,15.8038,18.8283,0.0
141,956,11.5834,9.925,9.63,10.4285,10.8982,16.9424,0.0
132,916,15.7666,16.3057,14.8911,19.0693,15.0525,19.9262,0.0
110,888,11.9162,13.3701,13.9536,12.5278,13.2638,18.1247,73.8533
252,878,17.6142,20.318,20.731,18.8651,17.5679,22.4148,0.0
87,835,15.9168,13.6448,17.8425,13.9261,14.8822,19.2382,0.0
98,824,11.9776,14.0256,17.0757,12.8496,16.357,23.4155,0.0
91,821,10.0536,11.1833,13.427,11.7173,11.7093,15.5591,18.7895
276,818,14.4465,19.3401,18.7739,15.1686,18.4426,28.2503,0.0
50,791,14.0879,12.4234,17.9098,13.5464,20.9667,27.5538,20.196
93,786,16.4222,17.9727,16.0693,16.1799,16.4018,21.3315,0.0
85,782,14.7396,13.1738,12.983,15.8695,13.5846,15.7045,0.0
83,777,13.5646,13.5207,16.0375,14.893,14.6451,18.3681,8.3637
82,769,17.4473,17.7713,17.2822,14.6404,17.859,18.7195,46.2825
48,745,7.9085,8.749,10.674,21.9776,9.5755,17.7587,0.0
108,740,11.0521,12.7665,11.3423,12.0649,13.0817,21.6958,3.8677
225,737,6.5527,7.7924,9.3577,9.2701,10.1183,14.5347,0.0
124,734,7.0871,10.2525,8.8762,9.4021,11.4756,18.5447,0.0
118,731,8.763,10.2401,9.2679,10.4693,11.7356,20.4364,0.0
69,725,8.3642,10.2727,11.3884,10.4579,12.0999,17.9344,0.0
115,711,8.0159,9.2918,10.3093,10.9402,11.5545,17.8004,25.6059
8,706,19.2022,20.154,23.4966,21.4607,19.2368,24.4126,0.0
222,699,7.251,10.0737,11.0335,9.6661,11.1499,14.0297,0.0
263,688,21.3952,19.0486,25.1458,23.4513,21.9246,25.5937,0.0
53,684,14.2367,16.7428,17.3549,15.5587,26.5436,29.2649,0.0
63,658,9.4963,11.5044,13.6361,11.4499,12.9854,15.8765,0.0
65,648,12.728,12.1682,16.3889,13.5603,14.7968,19.3197,26.2439
223,646,7.1768,9.8405,9.6504,10.6786,11.1015,17.6108,0.0
135,639,21.6142,19.6683,19.4298,20.5589,21.7698,24.8243,0.0
51,632,11.2808,13.2804,13.8475,11.4417,15.2619,25.8635,0.0
184,628,14.0203,8.9125,9.7347,13.2563,15.9034,18.7454,0.0
202,611,11.9884,12.4732,11.8005,12.8674,12.2542,15.8654,0.0
96,594,10.1116,9.6579,12.0818,8.806,11.2536,25.6105,2.2975
272,587,15.7045,14.4491,12.0065,13.8582,16.9407,24.9893,0.0
130,582,7.371,8.7078,12.0559,11.7912,13.7101,16.0685,16.4655
136,574,16.0739,17.1772,15.844,14.1345,16.1183,17.0424,0.0
209,568,12.5842,12.4958,15.4288,11.3493,11.9387,21.5931,0.0
52,564,10.5737,12.5488,14.6095,11.3866,15.7118,28.788,18.6087
102,557,11.7234,12.5299,13.0964,14.8207,12.3712,24.4605,0.0
61,550,9.5335,11.5405,12.2371,10.2719,13.0577,19.8525,0.0
101,542,8.6278,11.019,10.6764,11.0806,13.1511,23.5785,0.0
109,535,10.4455,12.0151,12.1524,11.7732,13.7594,15.7395,13.2308
100,533,10.8917,10.4529,13.762,14.2221,13.8194,19.2367,0.0
