feature,split_importance,gain_importance,gain_fraction
center_local_mean_log_price,419,696439.0449476242,0.37486485722331336
sqft,1217,323301.678984642,0.1740201653136058
community_center,1040,140613.4833087921,0.07568652809835964
neighbor_6_local_mean_log_price,31,90479.19421863556,0.048701276110962484
time_trend,850,84305.40276145935,0.04537817487200923
week,1933,73230.83247756958,0.03941718339917746
community_neighbor_5,827,50816.89297294617,0.027352669938642625
community_neighbor_3,848,48808.62044906616,0.026271698390032225
community_neighbor_6,767,47689.45928192139,0.02566929938013301
community_neighbor_2,796,46436.666498184204,0.02499497189747248
community_neighbor_4,719,44337.38444805145,0.02386501361655263
sqft_lot,748,43088.16099739075,0.023192607360945354
community_neighbor_1,562,33061.51666641235,0.017795671874877326
neighbor_4_local_mean_log_price,48,27479.254762649536,0.01479096697397022
neighbor_2_local_mean_log_price,31,24644.259927749634,0.013265004376491921
year,238,19777.295991897583,0.010645315325224839
neighbor_5_local_mean_log_price,53,15802.58052444458,0.00850588739248721
beds,103,10340.042867660522,0.005565625192022376
neighbor_1_local_mean_log_price,35,8510.415952682495,0.004580811320326326
unemployment_rate,113,7865.845081329346,0.00423386499471031
neighbor_3_local_mean_log_price,33,5134.66749382019,0.0027637830057400774
center_local_log1p_sales_count,65,3598.617301940918,0.001936989562661408
mortgage_rate,38,1793.741798400879,0.0009654983706486525
center_local_recency_years,42,1554.7889051437378,0.0008368797314960007
center_local_price_trend,24,1075.7297954559326,0.0005790216661599997
center_local_log_price_std,35,1042.597996711731,0.0005611881642966301
neighbor_6_local_price_trend,15,976.9077911376953,0.0005258297941533638
neighbor_1_local_log1p_sales_count,12,861.2784023284912,0.0004635911895816729
neighbor_2_local_log1p_sales_count,18,803.8627939224243,0.0004326866990829408
neighbor_1_local_price_trend,15,634.4676942825317,0.0003415081956640051
neighbor_3_local_price_trend,12,576.4423980712891,0.0003102755349776649
neighbor_2_local_price_trend,7,313.8488063812256,0.00016893206784902962
neighbor_4_local_price_trend,8,308.74910163879395,0.00016618710387261088
neighbor_6_local_log1p_sales_count,7,289.34679412841797,0.00015574362961963173
neighbor_3_local_log1p_sales_count,10,263.3051977157593,0.00014172649575570169
neighbor_4_local_log1p_sales_count,7,263.2186985015869,0.00014167993674123246
neighbor_1_local_recency_years,11,262.2676029205322,0.00014116800061159658
neighbor_5_local_price_trend,6,227.2382984161377,0.0001223131484505444
neighbor_2_local_log_price_std,9,197.2027997970581,0.00010614625921141645
neighbor_6_local_recency_years,5,123.69089794158936,6.657778757965011e-05
neighbor_4_local_recency_years,4,81.95119857788086,4.4111002358414664e-05
neighbor_1_local_log_price_std,3,77.61269950866699,4.177576448520403e-05
neighbor_6_local_log_price_std,3,73.71930122375488,3.9680106289737936e-05
neighbor_5_local_log1p_sales_count,3,69.88520050048828,3.761636556377788e-05
neighbor_3_local_recency_years,2,57.06650161743164,3.0716580490775466e-05
neighbor_3_local_log_price_std,2,40.11390018463135,2.1591683542833176e-05
neighbor_5_local_recency_years,2,38.06489944458008,2.0488789649330195e-05
neighbor_2_local_recency_years,2,33.132699966430664,1.7833986954698926e-05
neighbor_4_local_log_price_std,1,21.790700912475586,1.1729049434563799e-05
neighbor_5_local_log_price_std,1,16.97559928894043,9.137275760016307e-06
