feature,split_importance,gain_importance,gain_fraction
center_local_mean_log_price,1241,638396.8516230583,0.28931089074264016
sqft,2163,342045.1299858093,0.15500919369947966
community_center,2596,178288.71365261078,0.08079749520232953
neighbor_6_local_mean_log_price,118,119322.36401033401,0.05407492115536054
time_trend,1751,108631.11078977585,0.04922982208488279
community_neighbor_2,2993,84760.88521051407,0.03841223079036685
community_neighbor_5,3093,84451.63023853302,0.03827208155375492
community_neighbor_3,3044,83074.3890337944,0.03764793862651872
community_neighbor_6,2709,81379.29158496857,0.03687974850846196
community_neighbor_4,2825,77622.20511674881,0.035177099082866765
community_neighbor_1,2473,66385.16962051392,0.030084660515137217
sqft_lot,2108,64209.61499977112,0.029098735156034724
neighbor_2_local_mean_log_price,133,33879.07006645203,0.015353434017630308
neighbor_5_local_mean_log_price,132,26065.15933227539,0.011812298955731663
neighbor_4_local_mean_log_price,122,21428.67954301834,0.009711123026793613
beds,380,21392.031529426575,0.009694514753383076
annual_sin,725,16903.38432455063,0.007660334105764704
water_proximity,914,15708.452292919159,0.007118810679436255
neighbor_1_local_mean_log_price,144,15637.49891614914,0.007086655783022929
unemployment_rate,340,13700.996582508087,0.006209064965263548
center_local_recency_years,807,10972.097668170929,0.0049723731275041925
annual_cos,691,10461.57806110382,0.004741014088237851
center_local_log1p_sales_count,478,9855.715938091278,0.004466447398207429
neighbor_3_local_mean_log_price,102,9604.033680438995,0.004352389163176386
mortgage_rate,430,9531.90518283844,0.0043197017214452885
center_local_price_trend,313,6253.510103225708,0.0028339873131150357
center_local_log_price_std,451,6110.6839118003845,0.002769260846251071
neighbor_1_local_recency_years,309,3488.422818183899,0.0015808955044966924
neighbor_6_local_recency_years,292,3205.593768596649,0.00145272205869108
neighbor_4_local_recency_years,281,2997.7028946876526,0.0013585093542346515
neighbor_2_local_recency_years,280,2973.587728023529,0.001347580759693079
neighbor_6_local_price_trend,170,2965.3639097213745,0.0013438538613033814
neighbor_1_local_price_trend,173,2743.318040370941,0.0012432263471103314
neighbor_3_local_recency_years,263,2729.705927848816,0.0012370575629306274
neighbor_4_local_price_trend,175,2696.281394958496,0.0012219101176408052
neighbor_2_local_price_trend,180,2484.1935992240906,0.0011257954376520736
neighbor_5_local_recency_years,228,2394.072174549103,0.0010849538990676832
neighbor_3_local_price_trend,154,2268.191276550293,0.001027906758821098
neighbor_2_local_log1p_sales_count,108,2261.246850013733,0.0010247596596117566
neighbor_5_local_price_trend,163,2213.1556754112244,0.0010029655349607053
neighbor_2_local_log_price_std,157,1847.6055121421814,0.0008373042490730847
neighbor_3_local_log_price_std,159,1813.9727759361267,0.0008220624494853399
neighbor_6_local_log1p_sales_count,102,1610.4280171394348,0.0007298193324904004
neighbor_5_local_log_price_std,137,1459.736029624939,0.0006615282169801075
neighbor_1_local_log1p_sales_count,80,1428.9012694358826,0.0006475544138301526
neighbor_6_local_log_price_std,123,1415.304657459259,0.0006413926542412102
neighbor_4_local_log1p_sales_count,88,1222.472783088684,0.0005540044392212148
neighbor_3_local_log1p_sales_count,84,1180.043360710144,0.0005347761270031604
neighbor_4_local_log_price_std,110,1152.0652680397034,0.0005220969183084649
neighbor_1_local_log_price_std,107,1147.3320355415344,0.0005199518956526423
neighbor_5_local_log1p_sales_count,63,841.0399379730225,0.0003811453847030867
