,sale_date,lat,lng,community,sqft,sqft_scaled,sqft_lot,sqft_lot_scaled,h3_07,h3_08,h3_10,month,year,week,community_index,log_price_scaled,cls_community,cls_year,cls_week,cls_property,predicted_value,predicted_price
0,2025-01-01,47.7338193323605,-121.965763365882,278,1000,-1.1939798061352827,1000,-0.31292250417744477,8728d0949ffffff,8828d09493fffff,8a28d0949257fff,1,2025,1,7,-0.21461995764535605,0.07088857144117355,0.10717326402664185,0.13753308355808258,0.21435493230819702,13.45666790008545,698484.25
1,2025-01-01,47.581154884315,-122.402439608233,82,1000,-1.1939798061352827,1000,-0.31292250417744477,8728d5542ffffff,8828d55425fffff,8a28d5542457fff,1,2025,1,1,-0.5059921019920496,0.3692589998245239,0.11723426729440689,0.1339360922574997,0.23361042141914368,13.679046630859375,872437.8125
2,2025-01-01,47.5693752852629,-122.401888883937,199,1000,-1.1939798061352827,1000,-0.31292250417744477,8728d5542ffffff,8828d5542dfffff,8a28d5542d37fff,1,2025,1,5,0.4298401088177169,0.15485107898712158,0.10548757016658783,0.13240090012550354,0.21082741022109985,13.486600875854492,719708.0
3,2025-01-01,47.5587404690806,-122.402978971029,199,1000,-1.1939798061352827,1000,-0.31292250417744477,8728d5546ffffff,8828d55465fffff,8a28d554654ffff,1,2025,1,5,1.5716566828968168,0.15485107898712158,0.10548757016658783,0.13240090012550354,0.21082741022109985,13.486600875854492,719708.0
4,2025-01-01,47.5662862701034,-122.407031663857,199,1000,-1.1939798061352827,1000,-0.31292250417744477,8728d5546ffffff,8828d55467fffff,8a28d55466e7fff,1,2025,1,5,-0.29497790544607305,0.15485107898712158,0.10548757016658783,0.13240090012550354,0.21082741022109985,13.486600875854492,719708.0
5,2025-01-01,47.5883813648733,-122.383199371819,82,1000,-1.1939798061352827,1000,-0.31292250417744477,8728d5551ffffff,8828d55511fffff,8a28d55511affff,1,2025,1,1,-0.02268842694105692,0.3692589998245239,0.11723426729440689,0.1339360922574997,0.23361042141914368,13.679046630859375,872437.8125
6,2025-01-01,47.5816112464528,-122.390995097679,82,1000,-1.1939798061352827,1000,-0.31292250417744477,8728d5551ffffff,8828d55519fffff,8a28d555195ffff,1,2025,1,1,1.0132138668813102,0.3692589998245239,0.11723426729440689,0.1339360922574997,0.23361042141914368,13.679046630859375,872437.8125
7,2025-01-01,47.5653621095733,-122.365098649209,146,1000,-1.1939798061352827,1000,-0.31292250417744477,8728d5554ffffff,8828d55543fffff,8a28d555430ffff,1,2025,1,3,-0.6565582676377216,0.07013745605945587,0.118033267557621,0.14747095108032227,0.23586569726467133,13.401688575744629,661118.625
8,2025-01-01,47.564588361554,-122.361518155727,146,1000,-1.1939798061352827,1000,-0.31292250417744477,8728d5554ffffff,8828d55543fffff,8a28d5554317fff,1,2025,1,3,-0.45413746575518876,0.07013745605945587,0.118033267557621,0.14747095108032227,0.23586569726467133,13.401688575744629,661118.625
9,2025-01-01,47.557640496644,-122.360762875925,146,1000,-1.1939798061352827,1000,-0.31292250417744477,8728d5554ffffff,8828d55549fffff,8a28d55548effff,1,2025,1,3,0.8307372398110408,0.07013745605945587,0.118033267557621,0.14747095108032227,0.23586569726467133,13.401688575744629,661118.625
10,2025-01-01,47.5600764846332,-122.363857764328,146,1000,-1.1939798061352827,1000,-0.31292250417744477,8728d5554ffffff,8828d5554bfffff,8a28d5554aa7fff,1,2025,1,3,-0.8204441002173203,0.07013745605945587,0.118033267557621,0.14747095108032227,0.23586569726467133,13.401688575744629,661118.625
11,2025-01-01,47.5698509067065,-122.386283468248,146,1000,-1.1939798061352827,1000,-0.31292250417744477,8728d5555ffffff,8828d55551fffff,8a28d5555077fff,1,2025,1,3,0.04679738735537455,0.07013745605945587,0.118033267557621,0.14747095108032227,0.23586569726467133,13.401688575744629,661118.625
12,2025-01-01,47.5738008861663,-122.38599330049,82,1000,-1.1939798061352827,1000,-0.31292250417744477,8728d5555ffffff,8828d55553fffff,8a28d5555397fff,1,2025,1,1,-0.49289181873384763,0.3692589998245239,0.11723426729440689,0.1339360922574997,0.23361042141914368,13.679046630859375,872437.8125
13,2025-01-01,47.571735688322,-122.372901742119,146,1000,-1.1939798061352827,1000,-0.31292250417744477,8728d5555ffffff,8828d55555fffff,8a28d555542ffff,1,2025,1,3,0.6636257410476073,0.07013745605945587,0.118033267557621,0.14747095108032227,0.23586569726467133,13.401688575744629,661118.625
14,2025-01-01,47.5742941401656,-122.383248152164,199,1000,-1.1939798061352827,1000,-0.31292250417744477,8728d5555ffffff,8828d55557fffff,8a28d55550dffff,1,2025,1,5,0.45192679830361593,0.15485107898712158,0.10548757016658783,0.13240090012550354,0.21082741022109985,13.486600875854492,719708.0
15,2025-01-01,47.5658267791847,-122.38494014997,146,1000,-1.1939798061352827,1000,-0.31292250417744477,8728d5555ffffff,8828d55559fffff,8a28d55558d7fff,1,2025,1,3,-0.5730556176025442,0.07013745605945587,0.118033267557621,0.14747095108032227,0.23586569726467133,13.401688575744629,661118.625
16,2025-01-01,47.5788287448425,-122.406334266244,82,1000,-1.1939798061352827,1000,-0.31292250417744477,8728d5542ffffff,8828d55421fffff,8a28d55420b7fff,1,2025,1,1,-0.0015377874352072516,0.3692589998245239,0.11723426729440689,0.1339360922574997,0.23361042141914368,13.679046630859375,872437.8125
17,2025-01-01,47.4534956322539,-122.176030586516,827,1000,-1.1939798061352827,1000,-0.31292250417744477,8728d5534ffffff,8828d5534dfffff,8a28d5534ce7fff,1,2025,1,8,-0.8204441002173203,0.19294649362564087,0.07961957901716232,0.10717502981424332,0.1595081388950348,13.81372356414795,998214.625
18,2025-01-01,47.465007852452,-122.183345381787,827,1000,-1.1939798061352827,1000,-0.31292250417744477,8728d5534ffffff,8828d55347fffff,8a28d5534657fff,1,2025,1,8,-0.49289181873384763,0.19294649362564087,0.07961957901716232,0.10717502981424332,0.1595081388950348,13.81372356414795,998214.625
19,2025-01-01,47.4621855571328,-122.16786002339,827,1000,-1.1939798061352827,1000,-0.31292250417744477,8728d5536ffffff,8828d55345fffff,8a28d553449ffff,1,2025,1,8,-1.1061904971021508,0.19294649362564087,0.07961957901716232,0.10717502981424332,0.1595081388950348,13.81372356414795,998214.625
20,2025-01-01,47.4906586616604,-122.305061588704,146,1000,-1.1939798061352827,1000,-0.31292250417744477,8728d552effffff,8828d552e3fffff,8a28d552e357fff,1,2025,1,3,-1.0791289600520815,0.07013745605945587,0.118033267557621,0.14747095108032227,0.23586569726467133,13.401688575744629,661118.625
21,2025-01-01,47.4803004859806,-122.300668327895,146,1000,-1.1939798061352827,1000,-0.31292250417744477,8728d552effffff,8828d552e9fffff,8a28d552e80ffff,1,2025,1,3,-0.9050806456776654,0.07013745605945587,0.118033267557621,0.14747095108032227,0.23586569726467133,13.401688575744629,661118.625
22,2025-01-01,47.4794415546183,-122.286168420389,146,1000,-1.1939798061352827,1000,-0.31292250417744477,8728d552effffff,8828d552edfffff,8a28d552ed17fff,1,2025,1,3,-0.532473729021468,0.07013745605945587,0.118033267557621,0.14747095108032227,0.23586569726467133,13.401688575744629,661118.625
23,2025-01-01,47.4811253589312,-122.183348603463,832,1000,-1.1939798061352827,1000,-0.31292250417744477,8728d5530ffffff,8828d55307fffff,8a28d553072ffff,1,2025,1,9,0.46443060534890923,0.14471615850925446,0.08899767696857452,0.11779390275478363,0.1781906932592392,13.592384338378906,800013.875
24,2025-01-01,47.4872348128498,-122.197863307664,146,1000,-1.1939798061352827,1000,-0.31292250417744477,8728d5531ffffff,8828d55315fffff,8a28d55314a7fff,1,2025,1,3,-0.670872488310547,0.07013745605945587,0.118033267557621,0.14747095108032227,0.23586569726467133,13.401688575744629,661118.625
25,2025-01-01,47.4785522156623,-122.225471521801,832,1000,-1.1939798061352827,1000,-0.31292250417744477,8728d5531ffffff,8828d5531bfffff,8a28d5531b2ffff,1,2025,1,9,-0.24863343242375197,0.14471615850925446,0.08899767696857452,0.11779390275478363,0.1781906932592392,13.592384338378906,800013.875
26,2025-01-01,47.4866424222967,-122.162942986084,832,1000,-1.1939798061352827,1000,-0.31292250417744477,8728d5532ffffff,8828d55321fffff,8a28d5532147fff,1,2025,1,9,-0.45413746575518876,0.14471615850925446,0.08899767696857452,0.11779390275478363,0.1781906932592392,13.592384338378906,800013.875
27,2025-01-01,47.5691413030494,-122.393823796335,82,1000,-1.1939798061352827,1000,-0.31292250417744477,8728d5555ffffff,8828d5555bfffff,8a28d5555af7fff,1,2025,1,1,0.10641757336616459,0.3692589998245239,0.11723426729440689,0.1339360922574997,0.23361042141914368,13.679046630859375,872437.8125
28,2025-01-01,47.4916841803341,-122.171246068219,146,1000,-1.1939798061352827,1000,-0.31292250417744477,8728d5532ffffff,8828d55323fffff,8a28d5532347fff,1,2025,1,3,-0.4161767733244636,0.07013745605945587,0.118033267557621,0.14747095108032227,0.23586569726467133,13.401688575744629,661118.625
29,2025-01-01,47.4997690835846,-122.157742019754,832,1000,-1.1939798061352827,1000,-0.31292250417744477,8728d5514ffffff,8828d55327fffff,8a28d55149b7fff,1,2025,1,9,-0.40369401661861115,0.14471615850925446,0.08899767696857452,0.11779390275478363,0.1781906932592392,13.592384338378906,800013.875
30,2025-01-01,47.4803209783345,-122.158266036185,827,1000,-1.1939798061352827,1000,-0.31292250417744477,8728d5532ffffff,8828d55329fffff,8a28d5532987fff,1,2025,1,8,-0.7144905564203043,0.19294649362564087,0.07961957901716232,0.10717502981424332,0.1595081388950348,13.81372356414795,998214.625
31,2025-01-01,47.4862379878866,-122.151234841146,832,1000,-1.1939798061352827,1000,-0.31292250417744477,8728d5532ffffff,8828d5532dfffff,8a28d5532cc7fff,1,2025,1,9,-0.03794515805283793,0.14471615850925446,0.08899767696857452,0.11779390275478363,0.1781906932592392,13.592384338378906,800013.875
32,2025-01-01,47.4944575769828,-122.186528742359,146,1000,-1.1939798061352827,1000,-0.31292250417744477,8728d5533ffffff,8828d55331fffff,8a28d553311ffff,1,2025,1,3,-1.0348862306505207,0.07013745605945587,0.118033267557621,0.14747095108032227,0.23586569726467133,13.401688575744629,661118.625
33,2025-01-01,47.4991279079445,-122.174881248299,146,1000,-1.1939798061352827,1000,-0.31292250417744477,8728d5533ffffff,8828d55335fffff,8a28d5533407fff,1,2025,1,3,-0.2532160858476915,0.07013745605945587,0.118033267557621,0.14747095108032227,0.23586569726467133,13.401688575744629,661118.625
