community,Count,Avg Price,Median Price,Min Price,Max Price,Avg Sqft,Avg Beds,Avg Baths,Avg Error %
9,17812,1059774.76,919625.0,100000,6400000,1747.35,3.09,1.39,20.45
59,11946,1270723.85,1100000.0,125000,16200000,2143.46,3.52,1.51,24.24
38,9787,652247.04,610000.0,58750,3600000,1650.41,3.22,1.37,20.19
10,8835,697029.53,655000.0,116000,2950000,2110.18,3.6,1.7,14.92
7,8301,1833845.44,1606000.0,311440,28500000,2828.81,3.82,1.82,22.83
106,6505,564200.23,540000.0,65000,3350000,1901.09,3.48,1.5,15.11
161,3379,808673.36,727400.0,75000,3325000,2319.43,3.6,1.67,17.73
86,1203,677176.0,660000.0,165750,1975000,2492.96,3.78,1.95,11.66
23,1154,1512090.38,1360000.0,380000,6140000,2769.49,3.67,1.77,17.55
30,1060,966410.63,835000.0,210000,5850000,2459.78,3.65,1.54,25.27
